Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Radiation Effects in XOR Logic Gates at 16nm CMOS and FinFET Technology;26th IEEE International Conference on Electronics Circuits and Systems (ICECS);IEEE International Conference on Electronics, Circuits and Systems
Robustness enhancing inverters on Full Adders and Low Power applications;Simpósio Sul de Microeletrônica - SIM;SIMPÓSIO SUL DE MICROELETRÔNICA
Comparative evaluation of Dual Interlocked Cell in 32nm CMOS and 7nm FinFET;Simpósio Sul de Microeletrônica - SIM;SIMPÓSIO SUL DE MICROELETRÔNICA
An Analysis of Voltage Scaling Applied toApproximated Full Adders;Simpósio Sul de Microeletrônica - SIM;SIMPÓSIO SUL DE MICROELETRÔNICA
Bit width Exploration for Energy-efficient Image and Video Processing;35º Simpósio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
A Comparative Analysis of Performance and Sensitivity to Radiation of XORs in 16 nm CMOS and FinFET Technologies;35º Simpósio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
Impacto de falhas transientes em memórias SRAM em nanotecnologia;CONCURSO DE TRABALHOS DE INICIAÇÃO CIENTÍFICA DA SBC (CTIC-SBC);CONCURSO DE TRABALHOS DE INICIAÇÃO CIENTÍFICA DA SBC
DESIGN AND ROBUSTNESS EVALUATION OF A 7NM FINFET DICE SRAM;Sforum - Student Forum on Microelectronics;Microelectronics Students Forum
ROBUSTNESS ANALYSIS IN SRAM BIT CELLS;Sforum - Student Forum on Microelectronics;Microelectronics Students Forum
EXPLORING DECISION TREE METHODS TO LEARN UNKNOWN BOOLEAN FUNCTIONS;Sforum - Student forum on Microlectronics;Microelectronics Students Forum
A Platform for Vehicular Networks in the Cloud to Applications in Intelligent Transportation Systems;2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE);IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises
A Programmable Network Architecture for Information Centric Network using Data Replication in Private Clouds;2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE);IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises
Requisitos de Segurança para Provedores de Serviços em Nuvem de Acordo com a Norma ISO 27017;Anais do I Workshop de Informação, Dados e Tecnologia (WIDAT'2017);WORKSHOP DE INFORMAÇÃO, DADOS E TECNOLOGIA
