SIGLA;Nome Padrão;Qualis 2016
SOCS;International Symposium on Combinatorial Search;B1
VISSOFT;IEEE Working Conference on Software Visualization;B1
VLSID;International Conference on VLSI Design;B1
WIFS;IEEE Workshop on Information Forensics and Security;B1
WMNC;Joint IFIP Wireless and Mobile Networking Conference;B1
CBI;IEEE Conference on Business Informatics;B1
CF;ACM International Conference on Computing Frontiers;B1
CISIS;International Conference on Complex, Intelligent, and Software Intensive Systems;B1
CPM;Annual Symposium on Combinatorial Pattern Matching;B1
CSE;International Conference on Computational Science and Engineering;B1
EGOV;International Conference on Electronic Government;B1
EUROMICRO;Euromicro Conference on Software Engineering and Advanced Applications;B1
EWSDN;European Workshop on Software Defined Networks;B1
GLVLSI;ACM Great Lakes Symposium on VLSI;B1
ICCA;IEEE International Conference on Control and Automation;B1
IRI;IEEE International Conference on Information Reuse and Integration;B1
MUM;International Conference on Mobile and Ubiquitous Multimedia;B1
PAAMS;International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability;B1
ParCO;International Conference on Parallel Computing;B1
PST;International Conference on Privacy, Security and Trust;B1
QEST;International Conference on Quantitative Evaluation of Systems;B1
RANLP;International Conference on Recent Advances in Natural Language Processing;B1
SEC;International Conference on ICT Systems Security and Privacy Protection;B1
SSBSE;International Symposium on Search Based Software Engineering;B1
WICSA;Working IEEE/IFIP Conference on Software Architecture;B1
ASAP;IEEE International Conference on Application-specific Systems, Architectures and Processors;B1
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;B1
CGC;International Conference on Cloud and Green Computing;B1
DRCN;International Conference on the Design of Reliable Communication Networks;B1
EuroGP;European Conference on Genetic Programming;B1
FLAIRS;International Florida Artificial Intelligence Conference;B1
GI;Graphics Interface Conference;B1
ICAART;International Conference on Agents and Artificial Intelligence;B1
ICNSC;IEEE International Conference on Networking, Sensing and Control;B1
ICSI;International Conference on Swarm Intelligence;B1
ITC;International Test Conference;B1
IV;International Conference on Information Visualization;B1
